Job Title,Rating,Company Name,Size,Founded,Type of ownership,Sector,Position,lower_salary,higher_salary,city,state,state_full
Reimbursement Analyst,3.6,University of Florida Jacksonville Healthcare,1001 to 5000 employees,1971,Hospital,Health Care,1,28000,54000,Jacksonville,FL,Florida
Group Audit Methodology Analyst Associate,4.6,Avesta Computer Services,51 to 200 employees,1994,Company - Private,Information Technology,1,28000,54000,Jacksonville,FL,Florida
Program Analyst (Countermeasure Expendables) with Security Clearance,3.7,KBR,10000+ employees,1901,Company - Public,"Oil, Gas, Energy & Utilities",1,28000,54000,Jacksonville,FL,Florida
IT Applications Programmer Analyst,2.9,Tembec,1001 to 5000 employees,1972,Company - Public,Agriculture & Forestry,1,28000,54000,Jacksonville,FL,Florida
Technical Analyst,4.1,Alluvion Staffing,1 to 50 employees,2000,Company - Private,Business Services,1,28000,54000,Jacksonville,FL,Florida
MANAGEMENT AND PROGRAM ANALYST,3.8,U.S. Navy,1001 to 5000 employees,1775,Government,Government,1,28000,54000,Jacksonville,FL,Florida
"Senior QA Analyst in Jacksonville, FL at One Call",3.2,One Call,1001 to 5000 employees,1993,Company - Private,Health Care,1,28000,54000,Jacksonville,FL,Florida
Lead Dev/Analyst for Survey and Voice Analytic MIS,3.7,Citi,10000+ employees,1812,Company - Public,Finance,1,28000,54000,Jacksonville,FL,Florida
Data Analyst Junior,5,"Staffigo Technical Services, LLC",51 to 200 employees,2008,Company - Private,Information Technology,1,28000,54000,Jacksonville,FL,Florida
Operations Analyst / Associate,2.9,Newmark Knight Frank,5001 to 10000 employees,1929,Company - Public,Real Estate,1,28000,54000,Jacksonville,FL,Florida
Principal M&A Financial Analyst,3.6,FIS,10000+ employees,1968,Company - Public,Finance,1,28000,54000,Jacksonville,FL,Florida
Internal Controls Operations Analyst (Healthcare),5,American Recruiting & Consulting Group,51 to 200 employees,1982,Company - Private,Business Services,1,28000,54000,Jacksonville,FL,Florida
Strategic Planning Analyst - Remote,3.5,The Main Street America Group,501 to 1000 employees,1923,Company - Private,Insurance,1,28000,54000,Jacksonville,FL,Florida
P-3 Principal Quality Analyst,3.8,Northrop Grumman,10000+ employees,1939,Company - Public,Aerospace & Defense,1,28000,54000,Jacksonville,FL,Florida
P-3 Senior Business Manager,3.8,Northrop Grumman,10000+ employees,1939,Company - Public,Aerospace & Defense,1,28000,54000,Jacksonville,FL,Florida
Financial Analyst II - Baptist,3.3,Baptist Health of Northeast Florida,10000+ employees,1955,Nonprofit Organization,Health Care,1,28000,54000,Jacksonville,FL,Florida
"Revenue Analyst Specialist , Brooks Outpatient Rehabilitation",3.4,Brooks Rehabilitation,1001 to 5000 employees,1985,Nonprofit Organization,Health Care,1,28000,54000,Jacksonville,FL,Florida
Data Analyst,4.2,CyberCoders,201 to 500 employees,1999,Subsidiary or Business Segment,Business Services,2,28000,52000,Columbus,OH,Ohio
Data Analyst,3.6,Olive,201 to 500 employees,2012,Company - Private,Information Technology,2,28000,52000,Columbus,OH,Ohio
Data Analyst-Quality Improvement Services,3.7,Nationwide Children's Hospital,10000+ employees,1892,Nonprofit Organization,Health Care,2,28000,52000,Columbus,OH,Ohio
Data Analyst,2.9,The Paragon Group,1001 to 5000 employees,1985,Company - Public,Finance,2,28000,52000,Columbus,OH,Ohio
Fraud Data Analyst,3.5,Abercrombie & Fitch Co.,10000+ employees,1892,Company - Public,Retail,2,28000,52000,Columbus,OH,Ohio
Software Engineer - Data Analyst,3.9,JPMorgan Chase,10000+ employees,1799,Company - Public,Finance,2,28000,52000,Columbus,OH,Ohio
Business Data Analyst,3.8,DHL,10000+ employees,1969,Company - Private,Transportation & Logistics,2,28000,52000,Westerville,OH,Ohio
Business Analyst / Data Scientist Manager,3.6,Abbott Laboratories,10000+ employees,1888,Company - Public,Health Care,2,28000,52000,Columbus,OH,Ohio
Junior Data Analyst,5,"Staffigo Technical Services, LLC",51 to 200 employees,2008,Company - Private,Information Technology,2,28000,52000,Columbus,OH,Ohio
Planning Analyst - Data Resource Center,3.7,Nationwide Children's Hospital,10000+ employees,1892,Nonprofit Organization,Health Care,2,28000,52000,Columbus,OH,Ohio
Data Analyst,5,"Staffigo Technical Services, LLC",51 to 200 employees,2008,Company - Private,Information Technology,2,28000,52000,Columbus,OH,Ohio
"Data Analyst II(Claims,SQL,Billing,Healthcare)",3.4,Buckeye Health Plan,1001 to 5000 employees,2004,Company - Public,Health Care,2,28000,52000,Columbus,OH,Ohio
Data Analyst,4.5,Beacon Hill Staffing Group,501 to 1000 employees,2000,Company - Private,Business Services,2,28000,52000,Columbus,OH,Ohio
Data Validation Analyst,5,Revel IT,201 to 500 employees,1997,Company - Private,Information Technology,2,28000,52000,Dublin,OH,Ohio
"JPSC-7975 - Data Analyst Lead- Columbus, OH (LOCAL CANDIDATES ONLY)",4.5,Avani Technology Solutions,501 to 1000 employees,2008,Company - Private,Information Technology,2,28000,52000,Columbus,OH,Ohio
Data Statistics Analyst PFK - Care Coordination,3.7,Nationwide Children's Hospital,10000+ employees,1892,Nonprofit Organization,Health Care,2,28000,52000,Columbus,OH,Ohio
Data Analyst Junior,5,"Staffigo Technical Services, LLC",51 to 200 employees,2008,Company - Private,Information Technology,2,28000,52000,Columbus,OH,Ohio
Information Security and Data Protection Analyst,4,"Amyx, Inc.",501 to 1000 employees,1999,Company - Private,Information Technology,2,28000,52000,Columbus,OH,Ohio
Technical Data Analyst,4.5,"Dedicated Tech Services, Inc.",1 to 50 employees,2008,Private Practice / Firm,Information Technology,2,28000,52000,Dublin,OH,Ohio
"Data Scientist/Programmer, Sr. Analyst - Abbott Nutrition - Columbus, OH",3.6,Abbott,10000+ employees,1888,Company - Public,Health Care,2,28000,52000,Columbus,OH,Ohio
Data Analyst,4.1,N.F. Smith & Associates,201 to 500 employees,1984,Company - Private,Business Services,2,29000,38000,Houston,TX,Texas
Data Analyst I,2.8,Virtus Partners LLC,201 to 500 employees,2005,Company - Private,Finance,2,29000,38000,Houston,TX,Texas
Data Quality Analyst,3.6,Crown Castle USA Inc,1001 to 5000 employees,1994,Company - Public,Telecommunications,2,29000,38000,Houston,TX,Texas
Financial Data Analyst,2.7,Luminess Cosmetics,51 to 200 employees,2007,Company - Private,Manufacturing,2,29000,38000,Stafford,TX,Texas
Cost Data Analyst,3.9,Mondo,51 to 200 employees,2000,Company - Private,Business Services,2,29000,38000,Houston,TX,Texas
Data Analyst,3.9,cPanel,201 to 500 employees,1997,Company - Private,Information Technology,2,29000,38000,Houston,TX,Texas
"Data Analyst, Reporting",3.4,Harris County,5001 to 10000 employees,1966,Government,Health Care,2,29000,38000,Houston,TX,Texas
Data Analyst - 20,4.8,Genesys Talent,1 to 50 employees,2014,Company - Private,Business Services,2,29000,38000,Houston,TX,Texas
Data Analyst,3.1,Horne LLP,501 to 1000 employees,1962,Company - Private,Accounting & Legal,2,29000,38000,Houston,TX,Texas
"Analyst, Data Mgmt / Quant Analysis",3.2,The Bank of New York Mellon,10000+ employees,1784,Company - Public,Finance,2,29000,38000,Houston,TX,Texas
Data Analyst,4,McLane Global,51 to 200 employees,1955,Company - Private,Business Services,2,29000,38000,Houston,TX,Texas
Data Analyst & Healthcare Analytics,3.6,Kelsey-Seybold Medical Group,1001 to 5000 employees,1949,Private Practice / Firm,Health Care,2,29000,38000,Pearland,TX,Texas
Data Analyst,4.3,Pareto Systems,1 to 50 employees,2012,Company - Private,Information Technology,2,29000,38000,Stafford,TX,Texas
Business Analyst Data Governance,4.1,Arthur Lawrence,201 to 500 employees,2003,Company - Private,Business Services,2,29000,38000,Houston,TX,Texas
Data Analyst,2.5,Houston-Galveston Area Council,51 to 200 employees,1966,Government,Government,2,29000,38000,Houston,TX,Texas
Data Analyst II,3.6,FIS,10000+ employees,1968,Company - Public,Finance,2,29000,38000,Houston,TX,Texas
Business Analyst (Data Integration/Salesforce),3.9,Mondo,51 to 200 employees,2000,Company - Private,Business Services,2,29000,38000,Houston,TX,Texas
Compensation & HR Data Analyst,3.9,"Avetta, LLC",201 to 500 employees,2004,Company - Private,Information Technology,2,29000,38000,Houston,TX,Texas
Data Expert Analyst/Modeler,4.8,InvenTech Info,201 to 500 employees,2010,Company - Private,Information Technology,2,29000,38000,Houston,TX,Texas
ML213 - Secondary Market Analyst,3.4,VyStar Credit Union,1001 to 5000 employees,1952,Nonprofit Organization,Finance,1,30000,57000,Jacksonville,FL,Florida
Quality Analyst Underwriter,4.4,Contemporary Staffing Solutions,1001 to 5000 employees,1994,Company - Private,Business Services,1,30000,57000,Jacksonville,FL,Florida
Technical Business Consultant for FIS Asset Finance,3.6,FIS,10000+ employees,1968,Company - Public,Finance,1,30000,57000,Jacksonville,FL,Florida
Retail Analyst (CPG - Grocery),2.8,Acosta Sales & Marketing,10000+ employees,1927,Company - Private,Business Services,1,30000,57000,Jacksonville,FL,Florida
Apps Dev Tech Lead Analyst (R2023465) Jacksonville/Tampa C13,3.7,Citi,10000+ employees,1812,Company - Public,Finance,1,30000,57000,Jacksonville,FL,Florida
Project Analyst - Remote,4.1,Kforce,10000+ employees,1966,Company - Public,Business Services,1,30000,57000,Jacksonville,FL,Florida
Financial Analyst III - Baptist,3.3,Baptist Health of Northeast Florida,10000+ employees,1955,Nonprofit Organization,Health Care,1,30000,57000,Jacksonville,FL,Florida
Program Analyst (Countermeasure Expendables),3.7,KBR,10000+ employees,1901,Company - Public,"Oil, Gas, Energy & Utilities",1,30000,57000,Jacksonville,FL,Florida
Application Development Intermediate Programmer Analyst,3.7,Citi,10000+ employees,1812,Company - Public,Finance,1,30000,57000,Jacksonville,FL,Florida
Financial Analyst Senior/Specialist,3.6,FIS,10000+ employees,1968,Company - Public,Finance,1,30000,57000,Jacksonville,FL,Florida
LCS Training Analyst,3.6,CACI International,10000+ employees,1962,Company - Public,Aerospace & Defense,1,30000,57000,Jacksonville,FL,Florida
"Senior Analyst, Reinsurance Accounting",3.5,Lincoln Financial,10000+ employees,1905,Company - Public,Insurance,1,30000,57000,Jacksonville,FL,Florida
"Analyst-Strategy, Southside",3.3,Ascension,10000+ employees,1999,Nonprofit Organization,Health Care,1,30000,57000,Jacksonville,FL,Florida
IT Systems Analyst - Remote,4.1,Kforce,10000+ employees,1966,Company - Public,Business Services,1,30000,57000,Jacksonville,FL,Florida
Technology Business Consultant II (InterChange),2.9,Black Knight Financial Services,5001 to 10000 employees,2013,Company - Public,Information Technology,1,30000,57000,Jacksonville,FL,Florida
IAM Analyst,3.8,EY,10000+ employees,1989,Company - Private,Accounting & Legal,1,30000,57000,Jacksonville,FL,Florida
Technical Business Consultant III,2.9,Black Knight Financial Services,5001 to 10000 employees,2013,Company - Public,Information Technology,1,30000,57000,Jacksonville Beach,FL,Florida
Junior Data Analyst,5,"Staffigo Technical Services, LLC",51 to 200 employees,2008,Company - Private,Information Technology,2,30000,54000,Gainesville,FL,Florida
Data Analyst,5,"Staffigo Technical Services, LLC",51 to 200 employees,2008,Company - Private,Information Technology,2,30000,54000,Gainesville,FL,Florida
Data Analyst,4.3,University of Florida,10000+ employees,1853,College / University,Education,2,30000,54000,Gainesville,FL,Florida
AvMed Data Governance Analyst,3.1,AvMed Health Plans,501 to 1000 employees,1996,Nonprofit Organization,Insurance,2,30000,54000,Gainesville,FL,Florida
Data Management Analyst II,3.3,Shands Jacksonville,1001 to 5000 employees,1984,Nonprofit Organization,Health Care,2,30000,54000,Alachua,FL,Florida
Data Analyst Junior,5,"Staffigo Technical Services, LLC",51 to 200 employees,2008,Company - Private,Information Technology,2,30000,54000,Gainesville,FL,Florida
Data Analyst â Junior,5,"Staffigo Technical Services, LLC",51 to 200 employees,2008,Company - Private,Information Technology,2,30000,54000,Gainesville,FL,Florida
IT Analyst III Data Systems,3.3,Shands Jacksonville,1001 to 5000 employees,1984,Nonprofit Organization,Health Care,2,30000,54000,Gainesville,FL,Florida
Business Data Analyst,3.8,Diversant LLC,1001 to 5000 employees,2005,Company - Private,Business Services,2,30000,53000,Dallas,TX,Texas
"Analyst, Data & Design",3.3,Dallas ISD,10000+ employees,1867,School / School District,Education,2,30000,53000,Dallas,TX,Texas
Data Quality Analyst,3.6,Signify Health,501 to 1000 employees,2017,Company - Private,Health Care,2,30000,53000,Dallas,TX,Texas
Data Analyst,4.1,Kforce,10000+ employees,1966,Company - Public,Business Services,2,30000,53000,Dallas,TX,Texas
Data Analyst,4.6,Financial Additions,1 to 50 employees,1999,Company - Private,Finance,2,30000,53000,Dallas,TX,Texas
"Analyst I, Data & Design",3.3,Dallas Independent School District,10000+ employees,1867,School / School District,Education,2,30000,53000,Dallas,TX,Texas
Data Analyst,3.4,First American Financial Corporation,10000+ employees,1889,Company - Public,Insurance,2,30000,53000,Irving,TX,Texas
Client Data Analyst,3.6,Signify Health,501 to 1000 employees,2017,Company - Private,Health Care,2,30000,53000,Dallas,TX,Texas
HR Data Analyst II,4.1,Federal Reserve Bank (FRB),1001 to 5000 employees,1913,Government,Government,2,30000,53000,Dallas,TX,Texas
Healthcare Data Analyst,3.8,VITALWARE LLC,51 to 200 employees,2010,Company - Private,Health Care,2,30000,53000,Dallas,TX,Texas
Data Analyst II,3.6,Kubota Tractor,1001 to 5000 employees,1971,Subsidiary or Business Segment,Manufacturing,2,30000,53000,Grapevine,TX,Texas
Data Analyst,2.9,Trinity Industries,10000+ employees,1933,Company - Public,Manufacturing,2,30000,53000,Dallas,TX,Texas
System/Data Analyst,3.5,L&T Infotech,10000+ employees,1997,Company - Public,Information Technology,2,30000,53000,Irving,TX,Texas
HR Data Analyst II,3.6,Federal Reserve Bank of Richmond,1001 to 5000 employees,1914,Nonprofit Organization,Finance,2,30000,53000,Dallas,TX,Texas
Data Reporting Analyst,4.1,A-Line Staffing Solutions,501 to 1000 employees,2004,Company - Private,Business Services,2,30000,53000,Dallas,TX,Texas
